Size_of_ROIs,Mean_Value,St_Deviation,Skewness,Gradient_Mean_value,Gradient_Variance,Percentage_non_zero_Gradients,Contrast,Correlation,Entropy,Homogenity,Run_Percentage,Long_run_Emphasis,Gray_Value_Distribution,Yearly_Production
19113,105.148433,99.50741591,0.411535192,136.4676894,11869.63717,0.868204887,38.57533931,0.000100835,3.775288209,0.202827598,0.499712238,1.972882421,2991.379018,4673.772066
19838,106.7246194,99.20162688,0.369849568,136.8975671,11928.43489,0.867224519,33.69379157,0.00010143,3.568286873,0.204125514,0.501209799,1.962083878,3126.422911,4875.476516
20595,104.9030347,99.08125623,0.421256186,136.9715233,11892.95144,0.868803108,33.8709368,0.000101696,3.670497785,0.203647265,0.499053168,1.976162678,3226.103133,5038.438801
19362,108.1012292,99.81029876,0.322279617,140.0244757,12111.11844,0.869176738,39.63718576,0.000100171,3.755256943,0.203972304,0.50041318,1.944266694,3029.524925,4781.432036
19846,107.5749269,99.93552118,0.336669847,139.9149563,12129.15693,0.87004938,53.87788121,9.99E-05,3.807057046,0.203320788,0.499093016,1.970217062,3114.171328,4845.064008
19381,88.17997007,106.9433195,0.661528084,137.5030226,13307.5087,0.835302616,26.28623374,8.73E-05,3.224554827,0.209777481,0.500283783,1.965862211,3072.962046,4743.616955
19628,95.47727736,103.1375519,0.602383932,138.5708804,12916.04276,0.866924801,30.07049989,9.39E-05,3.802271361,0.20241374,0.501426534,1.958443406,3079.565535,4811.638488
19834,110.8933145,100.0366741,0.245598239,137.6282384,11869.97375,0.868206111,45.72621424,9.97E-05,3.782446896,0.202622822,0.50065544,1.960624371,3114.125076,4887.265055
19905,110.8053755,100.1241076,0.244822716,137.5544192,11872.29595,0.869078121,49.97177575,9.95E-05,3.780218666,0.203459881,0.500175835,1.961530735,3124.823825,4879.755123
21094,107.9815113,99.70945864,0.331648614,141.3983085,12246.27202,0.866834171,37.85677165,0.000100402,3.772695211,0.203262256,0.499952593,1.97913901,3315.869903,5172.822871
20625,107.3208727,99.38034753,0.347466923,140.4412409,12141.90949,0.868072727,32.41686619,0.000101089,3.725592819,0.203381903,0.498860606,1.976576927,3224.783458,5051.052872
19595,109.1261036,100.41431,0.29063395,139.7369655,12009.24092,0.868742026,43.28679733,9.90E-05,3.804994864,0.203319252,0.499260015,1.992231422,3061.543187,4784.657365
20418,108.997943,100.5470977,0.297151676,138.8000998,11988.55287,0.86732295,29.76999193,9.88E-05,3.805821815,0.202918947,0.499216378,1.982340822,3187.759933,4997.479349
20139,111.6768459,100.0089079,0.219408949,139.7005274,12050.80101,0.867471076,39.59001637,9.98E-05,3.741444149,0.203193606,0.499577933,1.980717623,3158.230096,4928.57221
20111,112.6712247,100.4072766,0.192608099,140.431007,12088.44408,0.868629108,42.6389071,9.90E-05,3.79516507,0.202691863,0.500472378,1.960854446,3150.781023,4939.948236
20587,108.2826541,100.0834768,0.318771935,138.2381398,11875.77809,0.869043571,54.63659547,9.95E-05,3.790288871,0.204109331,0.501238646,1.971896502,3246.612559,5068.605388
19173,109.3972774,99.86492101,0.285142557,138.0400624,11891.33381,0.86809576,37.80653685,0.000100106,3.758845414,0.203590118,0.500286862,1.977793995,2997.908882,4690.563595
19966,109.1421416,99.62580191,0.295124179,140.0227044,12091.45844,0.869728539,45.25962015,0.000100535,3.748399729,0.203326458,0.50010017,1.978267401,3133.354932,4904.416725
